,Cash balance,Unrealized value,Total asset,Rewards,CumReward,Position,Unit
2010-01-28,-2.200000000000003,101.6,99.39999999999999,1.0,40.2,2,2.0
2010-01-29,-2.200000000000003,99.6,97.39999999999999,-1.0,39.2,2,-2.0
2010-02-01,-2.200000000000003,97.6,95.39999999999999,-1.0,38.2,2,-2.0
2010-02-02,-2.200000000000003,97.6,95.39999999999999,1.0,39.2,2,0.0
2010-02-03,-2.200000000000003,95.6,93.39999999999999,-1.0,38.2,2,-2.0
2010-02-04,-2.200000000000003,97.6,95.39999999999999,1.0,39.2,2,2.0
2010-02-05,-2.200000000000003,93.6,91.39999999999999,-3.0,36.2,2,-4.0
2010-02-08,91.0,-2.4,88.6,-1.7999999999999972,34.400000000000006,-2,-2.799999999999997
2010-02-09,91.0,-2.4,88.6,1.0,35.400000000000006,-2,0.0
2010-02-10,91.0,-2.4,88.6,1.0,36.400000000000006,-2,0.0
2010-02-11,91.0,-4.4,86.6,-1.0,35.400000000000006,-2,-2.0
2010-02-12,91.0,-4.4,86.6,1.0,36.400000000000006,-2,0.0
2010-02-16,91.0,-6.4,84.6,-2.2000000000000006,34.2,-2,-2.0
2010-02-17,91.0,-6.4,84.6,-0.20000000000000107,34.0,-2,0.0
2010-02-18,91.0,-6.4,84.6,-0.20000000000000107,33.8,-2,0.0
2010-02-19,84.2,-2.4,81.8,-1.7999999999999972,32.0,2,-2.799999999999997
2010-02-22,84.2,-0.3999999999999999,83.8,1.0,33.0,2,2.0
2010-02-23,84.2,-4.4,79.8,-3.0,30.0,2,-4.0
2010-02-24,84.2,-4.4,79.8,1.0,31.0,2,0.0
2010-02-25,84.2,-6.4,77.8,-2.2000000000000006,28.8,2,-2.0
2010-02-26,84.2,-6.4,77.8,-0.20000000000000107,28.6,2,0.0
2010-03-01,84.2,-2.4,81.8,1.0,29.6,2,4.0
2010-03-02,84.2,-2.4,81.8,1.0,30.6,2,0.0
2010-03-03,84.2,-2.4,81.8,1.0,31.6,2,0.0
2010-03-04,84.2,-2.4,81.8,1.0,32.6,2,0.0
2010-03-05,84.2,-0.3999999999999999,83.8,1.0,33.6,2,2.0
2010-03-08,84.2,1.6,85.8,1.0,34.6,2,2.0
2010-03-09,84.2,-2.4,81.8,-3.0,31.6,2,-4.0
2010-03-10,84.2,-0.3999999999999999,83.8,1.0,32.6,2,2.0
2010-03-11,84.2,-2.4,81.8,-1.0,31.6,2,-2.0
2010-03-12,84.2,-0.3999999999999999,83.8,1.0,32.6,2,2.0
2010-03-15,84.2,-2.4,81.8,-1.0,31.6,2,-2.0
2010-03-16,84.2,-2.4,81.8,1.0,32.6,2,0.0
