Date,MMM
2011-06-17,6079.0
2011-06-20,6078.0
2011-06-21,6080.0
2011-06-22,6080.0
2011-06-23,6079.0
2011-06-24,6079.0
2011-06-27,6077.0
2011-06-28,6079.0
2011-06-29,6080.0
2011-06-30,6080.0
2011-07-01,6082.0
2011-07-05,6084.0
2011-07-06,6084.0
2011-07-07,6086.0
2011-07-08,6085.0
2011-07-11,6084.0
2011-07-12,6085.0
2011-07-13,6084.0
2011-07-14,6082.0
2011-07-15,6083.0
2011-07-18,6083.0
2011-07-19,6083.0
2011-07-20,6082.0
2011-07-21,6083.0
2011-07-22,6084.0
2011-07-25,6082.0
2011-07-26,6079.0
2011-07-27,6076.0
2011-07-28,6074.0
2011-07-29,6072.0
2011-08-01,6073.0
2011-08-02,6070.0
2011-08-03,6070.0
2011-08-04,6069.0
2011-08-05,6067.0
2011-08-08,6064.0
2011-08-09,6063.0
2011-08-10,6064.0
2011-08-11,6061.0
2011-08-12,6065.0
2011-08-15,6066.0
2011-08-16,6066.0
2011-08-17,6066.0
2011-08-18,6063.0
2011-08-19,6058.0
2011-08-22,6061.0
2011-08-23,6059.0
2011-08-24,6062.0
2011-08-25,6063.0
2011-08-26,6060.0
2011-08-29,6065.0
2011-08-30,6065.0
2011-08-31,6066.0
2011-09-01,6067.0
2011-09-02,6063.0
2011-09-06,6059.0
2011-09-07,6062.0
2011-09-08,6063.0
2011-09-09,6060.0
2011-09-12,6058.0
2011-09-13,6061.0
2011-09-14,6060.0
2011-09-15,6063.0
2011-09-16,6065.0
2011-09-19,6062.0
2011-09-20,6062.0
2011-09-21,6062.0
2011-09-22,6056.0
2011-09-23,6053.0
2011-09-26,6055.0
2011-09-27,6058.0
2011-09-28,6058.0
2011-09-29,6056.0
2011-09-30,6055.0
2011-10-03,6051.0
2011-10-04,6050.0
2011-10-05,6052.0
2011-10-06,6053.0
2011-10-07,6056.0
2011-10-10,6056.0
2011-10-11,6058.0
2011-10-12,6058.0
2011-10-13,6061.0
2011-10-14,6061.0
2011-10-17,6061.0
2011-10-18,6058.0
2011-10-19,6060.0
2011-10-20,6060.0
2011-10-21,6062.0
2011-10-24,6063.0
2011-10-25,6059.0
2011-10-26,6060.0
2011-10-27,6062.0
2011-10-28,6065.0
2011-10-31,6063.0
2011-11-01,6060.0
2011-11-02,6059.0
2011-11-03,6061.0
2011-11-04,6061.0
2011-11-07,6062.0
2011-11-08,6063.0
2011-11-09,6063.0
2011-11-10,6063.0
2011-11-11,6065.0
2011-11-14,6065.0
2011-11-15,6065.0
2011-11-16,6064.0
2011-11-17,6065.0
2011-11-18,6064.0
2011-11-21,6062.0
2011-11-22,6060.0
2011-11-23,6059.0
2011-11-25,6057.0
2011-11-28,6059.0
2011-11-29,6060.0
2011-11-30,6062.0
2011-12-01,6064.0
2011-12-02,6065.0
2011-12-05,6065.0
2011-12-06,6066.0
2011-12-07,6065.0
2011-12-08,6065.0
2011-12-09,6064.0
2011-12-12,6065.0
2011-12-13,6064.0
2011-12-14,6062.0
2011-12-15,6062.0
2011-12-16,6062.0
2011-12-19,6061.0
2011-12-20,6062.0
2011-12-21,6063.0
2011-12-22,6063.0
2011-12-23,6064.0
2011-12-27,6065.0
2011-12-28,6066.0
2011-12-29,6065.0
2011-12-30,6066.0
2012-01-03,6068.0
2012-01-04,6067.0
2012-01-05,6067.0
2012-01-06,6068.0
2012-01-09,6068.0
2012-01-10,6069.0
2012-01-11,6067.0
2012-01-12,6069.0
2012-01-13,6068.0
2012-01-17,6069.0
2012-01-18,6068.0
2012-01-19,6070.0
2012-01-20,6070.0
2012-01-23,6070.0
2012-01-24,6070.0
2012-01-25,6070.0
2012-01-26,6073.0
2012-01-27,6072.0
2012-01-30,6071.0
2012-01-31,6073.0
2012-02-01,6073.0
2012-02-02,6072.0
2012-02-03,6073.0
2012-02-06,6072.0
2012-02-07,6072.0
2012-02-08,6074.0
2012-02-09,6073.0
2012-02-10,6072.0
2012-02-13,6073.0
2012-02-14,6073.0
2012-02-15,6073.0
2012-02-16,6072.0
2012-02-17,6073.0
2012-02-21,6073.0
2012-02-22,6073.0
2012-02-23,6073.0
2012-02-24,6073.0
2012-02-27,6073.0
2012-02-28,6073.0
2012-02-29,6074.0
2012-03-01,6073.0
2012-03-02,6073.0
2012-03-05,6073.0
2012-03-06,6070.0
2012-03-07,6070.0
2012-03-08,6071.0
2012-03-09,6072.0
2012-03-12,6072.0
2012-03-13,6073.0
2012-03-14,6074.0
2012-03-15,6075.0
2012-03-16,6076.0
2012-03-19,6075.0
2012-03-20,6075.0
2012-03-21,6075.0
2012-03-22,6074.0
2012-03-23,6074.0
2012-03-26,6075.0
2012-03-27,6075.0
2012-03-28,6075.0
2012-03-29,6073.0
2012-03-30,6075.0
2012-04-02,6074.0
2012-04-03,6075.0
2012-04-04,6073.0
2012-04-05,6072.0
2012-04-09,6071.0
2012-04-10,6071.0
2012-04-11,6070.0
2012-04-12,6070.0
2012-04-13,6071.0
2012-04-16,6071.0
2012-04-17,6072.0
2012-04-18,6072.0
2012-04-19,6072.0
2012-04-20,6072.0
2012-04-23,6071.0
2012-04-24,6075.0
2012-04-25,6075.0
2012-04-26,6074.0
2012-04-27,6075.0
2012-04-30,6075.0
